param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,0_ZID,-0.0,1.0,,,,,,0.0,,,
alpha_,10_ToRL,0.0,1.0,14.541,-28.499,28.5,0.0,2383442043723.871,0.0,0.0,1.0,0.0
alpha_,11_EoR,0.035,1.036,0.065,-0.093,0.163,0.911,1.177,0.0,0.536,0.592,0.756
alpha_,12_NoN,-0.0,1.0,0.004,-0.008,0.008,0.992,1.008,0.0,-0.032,0.974,0.037
alpha_,13_NDEs,-0.0,1.0,0.004,-0.008,0.008,0.992,1.008,0.0,-0.093,0.926,0.111
alpha_,14_NNC2L,-0.004,0.996,0.004,-0.012,0.004,0.988,1.004,0.0,-0.952,0.341,1.551
alpha_,15_NNC3L,-0.0,1.0,0.004,-0.007,0.007,0.993,1.007,0.0,-0.077,0.938,0.092
alpha_,16_NNC4L,0.001,1.001,0.003,-0.006,0.007,0.994,1.007,0.0,0.15,0.881,0.183
alpha_,17_AND,-0.287,0.751,0.136,-0.554,-0.02,0.575,0.98,0.0,-2.106,0.035,4.828
alpha_,18_NE,0.0,1.0,0.001,-0.002,0.002,0.998,1.002,0.0,0.043,0.966,0.05
alpha_,19_MCI,0.617,1.853,0.353,-0.074,1.308,0.928,3.7,0.0,1.749,0.08,3.638
alpha_,1_Area,-0.0,1.0,52468034.441,-102835457.843,102835457.843,0.0,inf,0.0,-0.0,1.0,0.0
alpha_,20_CoI,-16.299,0.0,10.722,-37.314,4.716,0.0,111.735,0.0,-1.52,0.128,2.96
alpha_,21 NBS,-0.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0,-0.768,0.443,1.175
alpha_,22_CA,0.007,1.007,,,,,,0.0,,,
alpha_,23_EA,0.021,1.021,,,,,,0.0,,,
alpha_,24_HA,-0.119,0.888,,,,,,0.0,,,
alpha_,25_IA,0.016,1.016,,,,,,0.0,,,
alpha_,26_OA,-0.002,0.998,,,,,,0.0,,,
